sku,codigo_barras,nome,marca,categoria,conteudo_embalagem,unidade,preco_custo,preco_venda,estoque_inicial,estoque_minimo,tipo,ativo,status_conferencia,fonte
EAN-7896045505357,7896045505357,Cerveja lager heineken lata 250ml,Heineken,Cervejas,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7896045505357
EAN-7896045506064,7896045506064,Cerveja lager premium puro malte zero álcool heineken lata 350ml,Heineken,Cervejas,350 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7896045506064
EAN-7897395040390,7897395040390,Cerveja pilsen zero álcool itaipava lata 350ml,Itaipava,Cervejas,350 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7897395040390
EAN-7891991298407,7891991298407,Cerveja zero álcool budweiser lata 350ml,Budweiser,Cervejas,350 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991298407
EAN-7896045506040,7896045506040,Heineken zero 330ml,Heineken,Cervejas,330 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7896045506040
EAN-7891991300865,7891991300865,Beb.mista skol beats mojito lt 269ml,Skol,Cervejas,269 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991300865
EAN-7898964084159,7898964084159,Cerveja apa puro malte ginjo sake beers garrafa 500ml,,Cervejas,500 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898964084159
EAN-7898964084166,7898964084166,Cerveja ipa puro malte ginjo sake beers garrafa 500ml,,Cervejas,500 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898964084166
EAN-7898964084135,7898964084135,Cerveja kölsch puro malte ginjo sake beers garrafa 500ml,,Cervejas,500 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898964084135
EAN-7891991302029,7891991302029,Cerveja superior light michelob ultra lata 350ml,,Cervejas,350 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991302029
EAN-7898964084142,7898964084142,Cerveja weiss ginjo sake beers garrafa 500ml,,Cervejas,500 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898964084142
EAN-7898230715213,7898230715213,Cerveja witbier coentro e laranja baden baden garrafa 600ml,,Cervejas,600 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898230715213
EAN-7896045523412,7896045523412,Cerveza heineken,Heineken,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7896045523412
EAN-7897395020101,7897395020101,Itaipava,Itaipava,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7897395020101
EAN-7898925943013,7898925943013,Cerveja colorado cauim 600ml,,Cervejas,600 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898925943013
EAN-7898235984140,7898235984140,Cerveja paradiso green coast lt 473ml,,Cervejas,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898235984140
EAN-7898235984157,7898235984157,Cerveja paradiso laguna witbier lt 473ml,,Cervejas,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898235984157
EAN-7896371000229,7896371000229,Cerveja therezópolis 500ml ln orblanc,,Cervejas,500 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7896371000229
EAN-7898099397575,7898099397575,"Chop cerveja wienbier ipa 1,5l",,Cervejas,1.5 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898099397575
EAN-5854291104252,5854291104252,Beb.mista skol beats caipirinha lt,Skol,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/5854291104252
EAN-7891149104932,7891149104932,Brahma zero álcool,Brahma,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891149104932
EAN-7891991012096,7891991012096,Budweiser,Budweiser,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991012096
EAN-7891991011723,7891991011723,Cerveja lager budweiser,Budweiser,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991011723
EAN-7897395001063,7897395001063,Cerveja petra premium,Petra,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7897395001063
EAN-7891149101900,7891149101900,Cerveja stella artois,Stella Artois,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891149101900
EAN-7891149100019,7891149100019,Brahma,Brahma,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891149100019
EAN-7891991006101,7891991006101,Cerveja pilsen,,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991006101
EAN-7891149103102,7891149103102,Skol,Skol,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891149103102
EAN-7891960874687,7891960874687,Cerveja antarctica lt 35oml c/18 pilsen,,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891960874687
EAN-7891991298476,7891991298476,Cerveja de trigo feita com semente de coentro & casca de laranja,,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991298476
EAN-7898367983790,7898367983790,Cerveja eisenbahn,,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898367983790
EAN-17898915949206,17898915949206,Cerveja imperio,,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/17898915949206
